source,target
"But Ananias said, Lord, I have had accounts of this man from a number of people, how much evil he has done to your saints at Jerusalem:","Tin, Anania chuan, Lalpa, chu mi chu Jerusalem khuaa i mi thianghlimte chunga a tihsual tamzia thu mi tam tak kaah ka hria a ni!"
Let Aaron come into the holy place in this way: with an ox for a sin-offering and a male sheep for a burned offering.,"Hetiang hian Arona chu hmun thianghlimah a kal tur a ni: sual thawi nan bawng tuai, halral thilhlanah berampa nen."
We took a shower together.,Kan inbual dun a.
"Why then do you give me comfort with words in which there is no profit, when you see that there is nothing in your answers but deceit?","Tichuan, engtin nge thu engmah lo tak meuhva mi thlamuan dawn? In chhannaah hian dawt mai lo chu engmah a awm lo."
Then they said these words to them: What are the names of the men who are at work on this building?,"Tin, hetiang hian an hnênah, He mi in sa tute hming hi tute nge ni? kan ti a."
And a number of Jews had come to Martha and Mary to give them comfort about their brother.,tichuan an nuta thih chunga tithlamuang turin Judateho tam tak Marthi leh Mari hnenah an lo kal a.
I promise to call,Call ka tiam a ni
He sends down ice like raindrops: water is made hard by his cold.,A tui khal chu chhâng them nawi angin a paih chhuak thin a: Ama vawhna hmaah chuan tunge ding thei ang?
What is this?,Hei hi eng nge?
"For I had great joy and comfort in your love, because the hearts of the saints have been made strong again through you, brother.","Unaupa, nangma zara mi thianghlimte thinlung a lo harh tak avangin i hmangaihnaah chuan ka hlimin ka thlamuang em em thin asin."
For this cause give a parting offering to Moresheth-gath: the daughter of Achzib will be a deceit to the king of Israel.,"Aw Maresa mi, nangmah neitu tûr i hnênah ka la rawn hruai ang: Israel ropuina chuan Adullam a va thleng ang."
Bring it here,Hetah lo la rawh
Who will you believe,Tu nge i rin ang
"So they became unclean through their works, going after their evil desires.","Chutiang chuan an hnathawhtea tihbawrhbanin an awm a, An thiltihahte chuan an lo uire ta a."
They promised paradise,Paradis an tiam a
Be certain to do this with all care: do not let trouble be increased to the king's damage.,Muang hauh suh u: engah tehlul nge lalte tana chhiatna thil pawi tak a lo zualkai ang? a ti a.
"On the third day Eliab, the son of Helon, chief of the children of Zebulun:",Ni thum ni chuan Zebuluna thlahte puipa Helona fapa Eliaba huan a hlan a:
Grab that.,Kha kha vuan la.
"The twenty-second Giddalti, with his sons and his brothers, twelve;","vawi sawmhnih leh vawi hnihna chu Gidaltia chungah, a fapate leh a unaute chu sâwm leh pahnih;"
I had fun,Ka hlim e
"And Abraham said to God, If only Ishmael's life might be your care!","Tin, Abrahama vêk chuan Pathian hnênah, Ismaela hi i hmaah awm thei sela aw! a ti a."
"I was forty years old when Moses, the servant of the Lord, sent me from Kadesh-barnea to make a search through the land; and the account which I gave him was in keeping with his desire.","LALPA chhiahhlawh Mosian Kades-barnea hmun atanga ram va en thla tura mi tirh lai khan kum sawmli mi ka ni tawh a; tin, ka rilrua awm ang chiah chu a hnenah ka thlen leh a. a."
"If your children have done evil against him, then their punishment is from his hand.",I fate a chungah an sual a nih chuan An bawhchhiatna kutah a mantir a:
We have an altar from which those priests who are servants in the Tent may not take food.,"Keini zawngin maicham kan nei a, chu mi-ah chuan biak buk rawngbawltute chuan an ei tur a ni lo."
"For he took away the altars of strange gods and the high places, and had the upright stones broken and the wood pillars cut down;","ram dang pathian maichâmte leh hmun sângte a thehthang bo va, lungphunte a tichim a, Aseri-te a kit a:"
"And all the meeting sent to the men of Benjamin who were in the rock of Rimmon, offering them peace.","Tin, inkhawmho zawng zawngte chuan mi an tir a, Rimon lungpuia awm Benjamin-ho an va bia a, an hnênah inrem thu an puang a."
"And they came to some good fertile grass-land, in a wide quiet country of peace-loving people; for the people who were living there before were of the offspring of Ham.","Tin, ran tlatna hnim tui tak tak leh tha tak tak an hmu a, a ram chu a zauvin a reh a, ralmuanawm tak a ni; a hmaa lo awmte chu Hama thalhte an ni a."
"Ruling over Judah in Hebron for seven years and six months, and in Jerusalem, over all Israel and Judah, for thirty-three years.","Hebron-ah chuan Judate chungah kum sarih leh thla ruk a lal a; tin, Jerusalem-ah Israelte leh Judate zawng zawg chungah kum sâwmthum leh km thum a lal a."
"Now when Solomon's prayers were ended, fire came down from heaven, burning up all the offerings; and the house was full of the glory of the Lord.","Tin, Solomonan a han tawngtai zaw chuan vân atangin mei a lo chuk a, hâlral thilhlan leh inthawinate chu a rawn kangral a a; tin, LALPA ropuinain in chu a lo khat ta a."
In the eighteenth year of the rule of King Josiah this Passover was kept to the Lord in Jerusalem.,lal Josia lal kum sâwm leh kum riat kuma chuan chu Kalhlen Kût chu Jerusalem khuaah LALPA tan an nei ta chauh a ni.
"Peace be to the brothers, and love with faith, from God the Father and the Lord Jesus Christ.","Pa, Pathian leh Lalpa Isua Krista hnen ata remna leh rinna tel hmangaihna unaute hnenah khan awm rawh se."
I am eating,Ka ei mek
Were you frightened,I hlau em ni
